frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
185,6,[1376.2685546875 958.6763305664062 1851.3046875 1342.347412109375],car,[1549.9879150390625 1213.782470703125 1689.8555908203125 1251.4833984375],0.2937256693840027,APPSJED,0.10780057790716523
186,7,[627.82666015625 876.0890502929688 1049.89501953125 1209.07861328125],car,[776.0172119140625 1086.8369140625 895.4722900390625 1123.5185546875],0.38052332401275635,FEZZK,0.07092918567085096
188,6,[1379.521484375 970.6467895507812 1859.1854248046875 1358.9169921875],car,[1557.2308349609375 1224.974853515625 1688.9613037109375 1270.016845703125],0.4259001612663269,AP05JED,0.35296519271230037
189,6,[1380.0390625 974.9993896484375 1862.632080078125 1364.62451171875],car,[1551.306884765625 1229.372314453125 1702.036376953125 1271.946044921875],0.27647414803504944,APVSJED,0.20320514451724167
195,6,[1384.8233642578125 999.4755859375 1877.654296875 1396.9952392578125],car,[1570.906982421875 1258.3260498046875 1716.069091796875 1296.0338134765625],0.2527608573436737,APU5JEO,0.1523181740296909
201,6,[1389.9095458984375 1025.859619140625 1893.3006591796875 1427.9859619140625],car,[1582.286865234375 1288.3258056640625 1733.26123046875 1331.5137939453125],0.6794579029083252,ZPU5JED,0.07632975772155698
201,7,[589.2423706054688 929.45654296875 1049.88037109375 1276.3270263671875],car,[748.1612548828125 1151.6875 867.2589111328125 1187.372314453125],0.569098174571991,DISZE,0.026089944257291792
202,7,[585.7507934570312 931.9613037109375 1051.6201171875 1279.2437744140625],car,[746.069580078125 1154.6514892578125 865.3011474609375 1188.6544189453125],0.3246249854564667,HEZE,0.10780791938304901
203,7,[584.6298828125 935.7130126953125 1044.6392822265625 1285.669921875],car,[740.3515014648438 1157.974609375 872.1358032226562 1193.723876953125],0.35988467931747437,MHEEZE,0.11817123718545992
205,7,[580.5835571289062 940.5001831054688 1041.0467529296875 1295.1328125],car,[728.4769287109375 1164.11962890625 864.1492919921875 1202.16259765625],0.25484323501586914,MZ,0.18228047885968338
208,7,[570.6033325195312 949.5857543945312 1035.3345947265625 1310.2000732421875],car,[722.7386474609375 1181.8358154296875 854.1375732421875 1218.9940185546875],0.28834858536720276,EEZZ,0.0889592319726944
209,7,[568.4545288085938 952.777587890625 1033.04345703125 1315.022705078125],car,[720.859130859375 1182.9112548828125 854.199951171875 1222.0423583984375],0.5311005115509033,FEZZ,0.06998701393604279
210,7,[566.6268920898438 955.2844848632812 1033.2952880859375 1319.8863525390625],car,[721.2908325195312 1187.662841796875 857.2957153320312 1226.065185546875],0.43846815824508667,EHEZZP,0.3232619000350559
212,7,[561.1895141601562 965.7496337890625 1031.6827392578125 1330.2257080078125],car,[715.0595703125 1194.076904296875 854.8046875 1233.326416015625],0.36162295937538147,EH05ZZR,0.09187626118847496
215,7,[551.5274658203125 976.2529296875 1028.60302734375 1346.1983642578125],car,[709.2269897460938 1214.9866943359375 840.3136596679688 1251.3836669921875],0.42990344762802124,HHOSZZEI,0.10793451953945052
216,7,[546.6893310546875 980.3167724609375 1030.9102783203125 1350.107421875],car,[705.8291015625 1217.925537109375 839.710693359375 1255.113037109375],0.36608177423477173,HHSZZK,0.1389484928197644
222,7,[527.71484375 1001.294921875 1020.5578002929688 1384.067138671875],car,[689.28515625 1249.0830078125 825.572265625 1287.68896484375],0.6256299614906311,KEZ,0.7761041217488565
223,7,[525.2698974609375 1006.3130493164062 1023.3777465820312 1388.2978515625],car,[687.63232421875 1254.378173828125 824.094482421875 1290.106689453125],0.5330532789230347,KHDSZE,0.04647915393868423
227,7,[510.83404541015625 1025.28759765625 1000.93505859375 1410.75537109375],car,[676.49755859375 1278.314453125 815.289794921875 1315.242919921875],0.2727421224117279,DL,0.12318734117213556
228,7,[507.1024475097656 1032.7470703125 1008.7099609375 1417.341064453125],car,[677.8556518554688 1283.40625 815.0459594726562 1319.98193359375],0.34869951009750366,LRNS17,0.014203291304220395
229,7,[505.3064270019531 1036.912109375 1001.4892578125 1420.95849609375],car,[672.6575927734375 1283.8472900390625 814.4085693359375 1321.9891357421875],0.2944839596748352,DNDSZ,0.15115294310654304
